CPU_Usage(%),Memory_Usage(%),Disk_IO(MB/s),Network_Latency(ms),Error_Rate,Downtime,failure,cpu_rolling_mean,memory_rolling_mean,cpu_lag1,memory_lag1,high_cpu_flag
-0.5157454747635437,-0.8776621045459271,-0.3097867458021092,-0.0358487200617447,1.3191570537000328,-0.9628881524566876,0,0.26026587814908214,-0.06186899943701245,0.7359724778119584,-0.8195476914138811,0
0.4933508281531762,0.7803977667480165,2.542628608645816,-0.3614700203105692,-1.3608020897074844,-0.9628881524566876,0,0.4175757418501053,-0.14824258909124113,-0.5157454747635437,-0.8776621045459271,0
-0.5101094155234854,0.8962584645909619,0.7846717778371501,-0.3679975675156766,-1.007167609296486,-0.9628881524566876,0,0.3741904003859182,0.19303379831107484,0.4933508281531762,0.7803977667480165,0
-0.512261477702158,0.8170235275069327,0.3860321535947996,-1.4559277634580474,2.52805366369589,1.0385422205565893,1,-0.06175861240481051,0.1592939925772206,-0.5101094155234854,0.8962584645909619,0
0.1794789825303928,-1.2723653882662762,-0.6375824371594995,-1.0887067986874572,0.0456146341917904,-0.9628881524566876,0,-0.17305731146112363,0.06873045320674157,-0.512261477702158,0.8170235275069327,0
-1.720805025433515,-0.532776414713471,-1.0267331217003377,-0.4888529741669599,-0.1866617349893975,-0.9628881524566876,0,-0.41406922159511783,0.13770759117323278,0.1794789825303928,-1.2723653882662762,0
-1.5792332699370863,0.7852930639912958,0.4681263558784818,-2.024930510107193,-0.572058214070419,-0.9628881524566876,0,-0.8285860412131705,0.13868665062188862,-1.720805025433515,-0.532776414713471,0
-0.6015057705833186,-0.0420611693150941,-0.1539499709272282,0.566953822569614,-0.9996775558884098,-0.9628881524566876,0,-0.846865312225137,-0.048977276159322576,-1.5792332699370863,0.7852930639912958,0
-1.001618559186732,-1.0721510531943157,-1.2532337047012712,-1.239491813955209,-0.3725054837380863,-0.9628881524566876,0,-0.9447367285220517,-0.42681219229957235,-0.6015057705833186,-0.0420611693150941,0
0.2538643475629226,0.3883737694556595,-1.3825086353489522,0.6196308398191545,0.9319014200752166,-0.9628881524566876,0,-0.9298596555155457,-0.09466436075518514,-1.001618559186732,-1.0721510531943157,0
-0.910939922101038,-0.7599991865415509,-0.9557490918257208,0.5198020907212849,-0.2053406446448249,-0.9628881524566876,0,-0.7678866348490505,-0.1401089151208011,0.2538643475629226,0.3883737694556595,0
