CPU_Usage(%),Memory_Usage(%),Disk_IO(MB/s),Network_Latency(ms),Error_Rate,Downtime,failure
0.44470783554454735,-0.7273930945858537,0.27827300176903275,-1.5968363330906084,-0.6088750633220552,-0.9628881524566876,0
-0.2004136907696395,-0.38159550315246227,0.2091685453428261,-1.0180289577130808,0.9830562464657674,1.0385422205565893,0
0.6059432400328308,-0.6538803127778424,-0.937547956691846,-0.6484208538014934,-0.37590502424585237,-0.9628881524566876,0
1.6002057288145903,0.027365561638009493,0.5309154745181008,0.03820215003431087,-0.10044637649747433,1.0385422205565893,1
-0.2931984903519397,1.2122657150191598,-1.363406084053229,1.019568395211401,0.6022748142492851,-0.9628881524566876,1
-0.2931827082025501,-0.8101234724206179,-0.697623041321295,0.6279989610181234,-0.24689332914269915,-0.9628881524566876,0
1.6674835862514858,0.9857225561762041,-1.7029111147131495,-1.1075431140831888,-1.3567223741963348,-0.9628881524566876,1
0.7359724778119584,-0.8195476914138811,1.7143975472952768,-0.4609912481671049,1.0206570015189433,1.0385422205565893,1
-0.5157454747635437,-0.8776621045459271,-0.30978674580210924,-0.03584872006174471,1.3191570537000328,-0.9628881524566876,1
0.4933508281531762,0.7803977667480165,2.5426286086458156,-0.3614700203105692,-1.3608020897074844,-0.9628881524566876,0
-0.5101094155234854,0.8962584645909619,0.7846717778371501,-0.36799756751567664,-1.0071676092964859,-0.9628881524566876,0
-0.512261477702158,0.8170235275069327,0.38603215359479964,-1.4559277634580474,2.52805366369589,1.0385422205565893,1
0.17947898253039288,-1.2723653882662762,-0.6375824371594995,-1.0887067986874572,0.04561463419179045,-0.9628881524566876,0
-1.720805025433515,-0.532776414713471,-1.0267331217003375,-0.48885297416695994,-0.1866617349893975,-0.9628881524566876,0
-1.5792332699370863,0.7852930639912958,0.46812635587848184,-2.024930510107193,-0.572058214070419,-0.9628881524566876,0
-0.6015057705833186,-0.04206116931509418,-0.15394997092722826,0.566953822569614,-0.9996775558884098,-0.9628881524566876,0
-1.0016185591867321,-1.0721510531943157,-1.2532337047012712,-1.2394918139552087,-0.37250548373808634,-0.9628881524566876,0
0.25386434756292264,0.38837376945565955,-1.3825086353489522,0.6196308398191545,0.9319014200752166,-0.9628881524566876,0
-0.9109399221010381,-0.7599991865415509,-0.9557490918257208,0.5198020907212849,-0.2053406446448249,-0.9628881524566876,0
-1.333914834538159,1.9352086488138718,2.062875112251776,-0.6115777665756211,0.472037536016926,1.0385422205565893,1
